set,lens,layer,hits,n,rate,ci_lo,ci_hi
multilingual,control,6,0,190,0.0,0.0,0.01981752945971958
multilingual,control,7,0,190,0.0,0.0,0.01981752945971958
multilingual,control,8,0,190,0.0,0.0,0.01981752945971958
multilingual,control,9,0,190,0.0,0.0,0.01981752945971958
multilingual,control,10,0,190,0.0,0.0,0.01981752945971958
multilingual,control,11,0,190,0.0,0.0,0.01981752945971958
multilingual,control,12,0,190,0.0,0.0,0.01981752945971958
multilingual,control,13,0,190,0.0,0.0,0.01981752945971958
multilingual,control,14,0,190,0.0,0.0,0.01981752945971958
multilingual,control,15,0,190,0.0,0.0,0.01981752945971958
multilingual,control,16,0,190,0.0,0.0,0.01981752945971958
multilingual,control,17,0,190,0.0,0.0,0.01981752945971958
multilingual,control,18,0,190,0.0,0.0,0.01981752945971958
multilingual,control,19,0,190,0.0,0.0,0.01981752945971958
multilingual,control,20,0,190,0.0,0.0,0.01981752945971958
multilingual,control,21,0,190,0.0,0.0,0.01981752945971958
multilingual,control,22,0,190,0.0,0.0,0.01981752945971958
multilingual,control,23,0,190,0.0,0.0,0.01981752945971958
multilingual,control,24,0,190,0.0,0.0,0.01981752945971958
multilingual,control,25,0,190,0.0,0.0,0.01981752945971958
multilingual,control,26,0,190,0.0,0.0,0.01981752945971958
multilingual,control,27,0,190,0.0,0.0,0.01981752945971958
multilingual,control,28,0,190,0.0,0.0,0.01981752945971958
multilingual,control,29,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,control,30,0,190,0.0,0.0,0.01981752945971958
multilingual,control,31,0,190,0.0,0.0,0.01981752945971958
multilingual,control,32,0,190,0.0,0.0,0.01981752945971958
multilingual,control,33,0,190,0.0,0.0,0.01981752945971958
multilingual,control,34,0,190,0.0,0.0,0.01981752945971958
multilingual,control,35,0,190,0.0,0.0,0.01981752945971958
multilingual,control,36,0,190,0.0,0.0,0.01981752945971958
multilingual,control,37,0,190,0.0,0.0,0.01981752945971958
multilingual,control,38,0,190,0.0,0.0,0.01981752945971958
multilingual,control,39,0,190,0.0,0.0,0.01981752945971958
multilingual,control,40,0,190,0.0,0.0,0.01981752945971958
multilingual,control,41,0,190,0.0,0.0,0.01981752945971958
multilingual,control,42,0,190,0.0,0.0,0.01981752945971958
multilingual,control,43,0,190,0.0,0.0,0.01981752945971958
multilingual,control,44,0,190,0.0,0.0,0.01981752945971958
multilingual,control,45,0,190,0.0,0.0,0.01981752945971958
multilingual,control,46,0,190,0.0,0.0,0.01981752945971958
multilingual,control,47,0,190,0.0,0.0,0.01981752945971958
multilingual,control,48,0,190,0.0,0.0,0.01981752945971958
multilingual,control,49,0,190,0.0,0.0,0.01981752945971958
multilingual,control,50,0,190,0.0,0.0,0.01981752945971958
multilingual,control,51,0,190,0.0,0.0,0.01981752945971958
multilingual,control,52,0,190,0.0,0.0,0.01981752945971958
multilingual,control,53,0,190,0.0,0.0,0.01981752945971958
multilingual,control,54,0,190,0.0,0.0,0.01981752945971958
multilingual,control,55,0,190,0.0,0.0,0.01981752945971958
multilingual,control,56,0,190,0.0,0.0,0.01981752945971958
multilingual,control,57,0,190,0.0,0.0,0.01981752945971958
multilingual,control,58,0,190,0.0,0.0,0.01981752945971958
multilingual,control,59,0,190,0.0,0.0,0.01981752945971958
multilingual,control,60,0,190,0.0,0.0,0.01981752945971958
multilingual,control,61,0,190,0.0,0.0,0.01981752945971958
multilingual,control,62,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,0,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,1,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,2,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,3,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,4,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,5,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,logit,6,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,7,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,8,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,9,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,logit,10,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,logit,11,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,logit,12,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,13,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,14,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,15,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,16,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,17,0,190,0.0,0.0,0.01981752945971958
multilingual,logit,18,7,190,0.03684210526315789,0.017958892122649724,0.0740826088505642
multilingual,logit,19,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,logit,20,26,190,0.1368421052631579,0.09512509997310233,0.1929528951081677
multilingual,logit,21,27,190,0.14210526315789473,0.0995361295487546,0.1988595757487289
multilingual,logit,22,27,190,0.14210526315789473,0.0995361295487546,0.1988595757487289
multilingual,logit,23,22,190,0.11578947368421053,0.07772055781302264,0.16908659640339346
multilingual,logit,24,21,190,0.11052631578947368,0.07343579369027001,0.1630536503099326
multilingual,logit,25,23,190,0.12105263157894737,0.08203329852949688,0.17509156590313268
multilingual,logit,26,22,190,0.11578947368421053,0.07772055781302264,0.16908659640339346
multilingual,logit,27,20,190,0.10526315789473684,0.0691806770541209,0.15699105672986824
multilingual,logit,28,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,logit,29,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,logit,30,15,190,0.07894736842105263,0.04842449218117986,0.1261586905217419
multilingual,logit,31,16,190,0.08421052631578947,0.05249789223428312,0.1324030006848521
multilingual,logit,32,15,190,0.07894736842105263,0.04842449218117986,0.1261586905217419
multilingual,logit,33,16,190,0.08421052631578947,0.05249789223428312,0.1324030006848521
multilingual,logit,34,13,190,0.06842105263157895,0.040418272568199846,0.11352948970229496
multilingual,logit,35,26,190,0.1368421052631579,0.09512509997310233,0.1929528951081677
multilingual,logit,36,27,190,0.14210526315789473,0.0995361295487546,0.1988595757487289
multilingual,logit,37,29,190,0.15263157894736842,0.10842257924192092,0.21060854648798952
multilingual,logit,38,26,190,0.1368421052631579,0.09512509997310233,0.1929528951081677
multilingual,logit,39,25,190,0.13157894736842105,0.09073685792360459,0.1870234269414519
multilingual,logit,40,26,190,0.1368421052631579,0.09512509997310233,0.1929528951081677
multilingual,logit,41,22,190,0.11578947368421053,0.07772055781302264,0.16908659640339346
multilingual,logit,42,16,190,0.08421052631578947,0.05249789223428312,0.1324030006848521
multilingual,logit,43,15,190,0.07894736842105263,0.04842449218117986,0.1261586905217419
multilingual,logit,44,12,190,0.06315789473684211,0.03649465189670734,0.10713540015757397
multilingual,logit,45,12,190,0.06315789473684211,0.03649465189670734,0.10713540015757397
multilingual,logit,46,10,190,0.05263157894736842,0.028836437792334857,0.0941581938295195
multilingual,logit,47,9,190,0.04736842105263158,0.02511794235077558,0.0875589790548653
multilingual,logit,48,12,190,0.06315789473684211,0.03649465189670734,0.10713540015757397
multilingual,logit,49,10,190,0.05263157894736842,0.028836437792334857,0.0941581938295195
multilingual,logit,50,7,190,0.03684210526315789,0.017958892122649724,0.0740826088505642
multilingual,logit,51,28,190,0.14736842105263157,0.10396893204343441,0.20474448347026256
multilingual,logit,52,30,190,0.15789473684210525,0.11289621943608319,0.21645261651004072
multilingual,logit,53,29,190,0.15263157894736842,0.10842257924192092,0.21060854648798952
multilingual,logit,54,28,190,0.14736842105263157,0.10396893204343441,0.20474448347026256
multilingual,logit,55,38,190,0.2,0.14932237639446422,0.2625681412813676
