set,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,association,association,association,association,association,association,association,association,association,association,typo,typo,typo,typo,typo,typo,typo,typo,typo,typo,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry
lens,logit,j,ln,identity,half,ln+identity,ln+half,r,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,r,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,r,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,r,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,r,released-J,released-R
layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.05,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.35,0.05,0.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.05,0.0,0.0,0.45,0.05,0.2,0.4,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.0,0.3,0.05,0.15,0.25,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.016666666666666666,0.08333333333333333,0.13333333333333333,0.0,0.05,0.11666666666666667,0.08333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.65,0.05,0.3,0.5,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.1,0.16666666666666666,0.05,0.06666666666666667,0.13333333333333333,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.25,0.0,0.2,0.65,0.05,0.25,0.5,0.25,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.11666666666666667,0.016666666666666666,0.11666666666666667,0.16666666666666666,0.1,0.13333333333333333,0.13333333333333333,0.11666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.05,0.3,0.55,0.3,0.4,0.55,0.35,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.18333333333333332,0.13333333333333333,0.15,0.15,0.16666666666666666,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.35,0.05,0.3,0.45,0.3,0.35,0.35,0.35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.16666666666666666,0.08333333333333333,0.2,0.21666666666666667,0.16666666666666666,0.2,0.23333333333333334,0.18333333333333332,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.2,0.45,0.55,0.35,0.5,0.55,0.45,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.16666666666666666,0.08333333333333333,0.2,0.23333333333333334,0.18333333333333332,0.16666666666666666,0.23333333333333334,0.16666666666666666,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.45,0.2,0.45,0.55,0.35,0.45,0.55,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.06666666666666667,0.23333333333333334,0.25,0.16666666666666666,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5,0.1,0.4,0.6,0.4,0.4,0.55,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
